:ID(MaintenanceEvent),component_id,system_id,aircraft_id,fault,severity,reported_at,corrective_action
ME0051,AC1007-S02-C01,AC1007-S02,AC1007,Overheat,MAJOR,2024-09-11T18:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0052,AC1007-S02-C04,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-12T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0053,AC1007-S02-C03,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-16T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0054,AC1007-S02-C03,AC1007-S02,AC1007,Overheat,CRITICAL,2024-09-17T21:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0055,AC1007-S02-C05,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-20T05:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0056,AC1007-S02-C02,AC1007-S02,AC1007,Overheat,CRITICAL,2024-09-21T00:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0057,AC1007-S02-C03,AC1007-S02,AC1007,Overheat,CRITICAL,2024-09-24T12:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0058,AC1007-S02-C02,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-25T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0059,AC1007-S02-C04,AC1007-S02,AC1007,Overheat,CRITICAL,2024-09-28T00:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0060,AC1008-S01-C01,AC1008-S01,AC1008,Bearing wear,MINOR,2024-08-15T08:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0061,AC1008-S01-C02,AC1008-S01,AC1008,Bearing wear,MINOR,2024-08-19T08:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0062,AC1008-S01-C01,AC1008-S01,AC1008,Bearing wear,MAJOR,2024-08-23T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0063,AC1008-S01-C04,AC1008-S01,AC1008,Bearing wear,MAJOR,2024-08-26T23:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0064,AC1008-S01-C03,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-08-30T20:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0065,AC1008-S01-C03,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-03T09:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0066,AC1008-S01-C01,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-06T18:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0067,AC1008-S01-C01,AC1008-S01,AC1008,Overheat,MAJOR,2024-09-08T01:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0068,AC1008-S01-C02,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-10T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0069,AC1008-S01-C04,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-14T06:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0070,AC1008-S01-C01,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-17T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0071,AC1008-S01-C05,AC1008-S01,AC1008,Overheat,MAJOR,2024-09-21T02:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0072,AC1008-S01-C05,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-21T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0073,AC1008-S01-C03,AC1008-S01,AC1008,Overheat,MAJOR,2024-09-24T09:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0074,AC1008-S01-C02,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-24T18:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0075,AC1008-S01-C04,AC1008-S01,AC1008,Vibration exceedance,CRITICAL,2024-09-28T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0076,AC1008-S02-C05,AC1008-S02,AC1008,Bearing wear,MINOR,2024-09-15T02:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0077,AC1008-S02-C04,AC1008-S02,AC1008,Bearing wear,MAJOR,2024-09-19T04:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0078,AC1009-S02-C02,AC1009-S02,AC1009,Bearing wear,MINOR,2024-09-19T15:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0079,AC1009-S02-C03,AC1009-S02,AC1009,Bearing wear,MAJOR,2024-09-22T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0080,AC1009-S02-C03,AC1009-S02,AC1009,Bearing wear,MINOR,2024-09-26T03:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0081,AC1010-S02-C03,AC1010-S02,AC1010,Bearing wear,MAJOR,2024-09-05T10:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0082,AC1010-S02-C02,AC1010-S02,AC1010,Bearing wear,MINOR,2024-09-08T15:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0083,AC1010-S02-C01,AC1010-S02,AC1010,Bearing wear,MINOR,2024-09-14T13:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0084,AC1010-S02-C01,AC1010-S02,AC1010,Vibration exceedance,CRITICAL,2024-09-22T01:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0085,AC1010-S02-C03,AC1010-S02,AC1010,Vibration exceedance,CRITICAL,2024-09-25T20:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0086,AC1012-S02-C05,AC1012-S02,AC1012,Bearing wear,MAJOR,2024-08-30T20:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0087,AC1012-S02-C02,AC1012-S02,AC1012,Bearing wear,MAJOR,2024-09-03T22:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0088,AC1012-S02-C01,AC1012-S02,AC1012,Bearing wear,MINOR,2024-09-10T11:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0089,AC1012-S02-C05,AC1012-S02,AC1012,Bearing wear,MAJOR,2024-09-14T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0090,AC1012-S02-C03,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-20T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0091,AC1012-S02-C02,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-24T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0092,AC1012-S02-C03,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-28T03:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0093,AC1013-S02-C04,AC1013-S02,AC1013,Bearing wear,MINOR,2024-09-20T01:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0094,AC1013-S02-C03,AC1013-S02,AC1013,Bearing wear,MAJOR,2024-09-27T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0095,AC1014-S01-C05,AC1014-S01,AC1014,Bearing wear,MINOR,2024-09-05T18:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0096,AC1014-S01-C03,AC1014-S01,AC1014,Bearing wear,MAJOR,2024-09-09T03:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0097,AC1014-S01-C02,AC1014-S01,AC1014,Bearing wear,MINOR,2024-09-14T03:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0098,AC1014-S01-C01,AC1014-S01,AC1014,Bearing wear,MINOR,2024-09-18T05:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0099,AC1014-S01-C04,AC1014-S01,AC1014,Bearing wear,MINOR,2024-09-22T05:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0100,AC1014-S02-C02,AC1014-S02,AC1014,Bearing wear,MINOR,2024-08-23T15:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0101,AC1014-S02-C04,AC1014-S02,AC1014,Bearing wear,MINOR,2024-08-26T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0102,AC1014-S02-C01,AC1014-S02,AC1014,Bearing wear,MAJOR,2024-08-31T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0103,AC1014-S02-C04,AC1014-S02,AC1014,Bearing wear,MAJOR,2024-09-05T11:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0104,AC1014-S02-C01,AC1014-S02,AC1014,Vibration exceedance,CRITICAL,2024-09-11T05:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0105,AC1014-S02-C01,AC1014-S02,AC1014,Vibration exceedance,CRITICAL,2024-09-15T06:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0106,AC1014-S02-C01,AC1014-S02,AC1014,Vibration exceedance,CRITICAL,2024-09-20T01:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0107,AC1014-S02-C03,AC1014-S02,AC1014,Vibration exceedance,CRITICAL,2024-09-23T09:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0108,AC1014-S02-C05,AC1014-S02,AC1014,Vibration exceedance,CRITICAL,2024-09-27T09:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0109,AC1015-S01-C01,AC1015-S01,AC1015,Bearing wear,MINOR,2024-09-25T10:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0110,AC1015-S01-C02,AC1015-S01,AC1015,Sensor drift,MINOR,2024-09-26T00:00:00,Replaced sensor unit and recalibrated engine monitoring system
ME0111,AC1015-S01-C03,AC1015-S01,AC1015,Bearing wear,MINOR,2024-09-28T15:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0112,AC1015-S02-C01,AC1015-S02,AC1015,Bearing wear,MAJOR,2024-08-20T15:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0113,AC1015-S02-C03,AC1015-S02,AC1015,Bearing wear,MAJOR,2024-09-02T15:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0114,AC1015-S02-C04,AC1015-S02,AC1015,Vibration exceedance,CRITICAL,2024-09-05T17:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0115,AC1015-S02-C04,AC1015-S02,AC1015,Vibration exceedance,CRITICAL,2024-09-09T10:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0116,AC1015-S02-C04,AC1015-S02,AC1015,Vibration exceedance,CRITICAL,2024-09-13T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0117,AC1015-S02-C03,AC1015-S02,AC1015,Vibration exceedance,CRITICAL,2024-09-17T06:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0118,AC1015-S02-C04,AC1015-S02,AC1015,Vibration exceedance,CRITICAL,2024-09-20T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0119,AC1015-S02-C05,AC1015-S02,AC1015,Vibration exceedance,CRITICAL,2024-09-23T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0120,AC1015-S02-C03,AC1015-S02,AC1015,Vibration exceedance,CRITICAL,2024-09-26T20:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0121,AC1016-S02-C02,AC1016-S02,AC1016,Bearing wear,MAJOR,2024-09-12T18:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0122,AC1016-S02-C01,AC1016-S02,AC1016,Bearing wear,MAJOR,2024-09-19T23:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0123,AC1016-S02-C01,AC1016-S02,AC1016,Bearing wear,MAJOR,2024-09-22T23:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0124,AC1016-S02-C04,AC1016-S02,AC1016,Bearing wear,MAJOR,2024-09-28T10:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0125,AC1017-S02-C04,AC1017-S02,AC1017,Bearing wear,MINOR,2024-09-04T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0126,AC1017-S02-C03,AC1017-S02,AC1017,Bearing wear,MAJOR,2024-09-10T06:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0127,AC1017-S02-C05,AC1017-S02,AC1017,Bearing wear,MINOR,2024-09-14T20:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0128,AC1017-S02-C01,AC1017-S02,AC1017,Bearing wear,MAJOR,2024-09-18T14:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0129,AC1017-S02-C02,AC1017-S02,AC1017,Bearing wear,MAJOR,2024-09-24T21:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0130,AC1019-S01-C04,AC1019-S01,AC1019,Bearing wear,MAJOR,2024-08-14T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0131,AC1019-S01-C05,AC1019-S01,AC1019,Bearing wear,MINOR,2024-08-22T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0132,AC1019-S01-C05,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-08-26T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0133,AC1019-S01-C03,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-08-30T03:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0134,AC1019-S01-C03,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-09-02T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0135,AC1019-S01-C03,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-09-06T16:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0136,AC1019-S01-C01,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-09-09T17:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0137,AC1019-S01-C03,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-09-12T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0138,AC1019-S01-C03,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-09-16T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0139,AC1019-S01-C05,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-09-19T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0140,AC1019-S01-C03,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-09-22T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0141,AC1019-S01-C02,AC1019-S01,AC1019,Overheat,MAJOR,2024-09-24T00:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0142,AC1019-S01-C01,AC1019-S01,AC1019,Vibration exceedance,CRITICAL,2024-09-26T00:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0143,AC1020-S01-C01,AC1020-S01,AC1020,Bearing wear,MINOR,2024-08-05T18:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0144,AC1020-S01-C03,AC1020-S01,AC1020,Bearing wear,MINOR,2024-08-20T14:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0145,AC1020-S01-C02,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-08-25T00:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0146,AC1020-S01-C02,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-08-30T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0147,AC1020-S01-C02,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-03T06:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0148,AC1020-S01-C05,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-06T13:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0149,AC1020-S01-C02,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-10T05:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0150,AC1020-S01-C02,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-14T01:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0151,AC1020-S01-C03,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-17T06:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0152,AC1020-S01-C05,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-20T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0153,AC1020-S01-C04,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-24T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0154,AC1020-S01-C01,AC1020-S01,AC1020,Vibration exceedance,CRITICAL,2024-09-27T10:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0155,AC1020-S02-C02,AC1020-S02,AC1020,Bearing wear,MAJOR,2024-09-17T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0156,AC1020-S02-C04,AC1020-S02,AC1020,Bearing wear,MINOR,2024-09-27T03:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0157,AC1021-S02-C01,AC1021-S02,AC1021,Bearing wear,MINOR,2024-08-23T12:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0158,AC1021-S02-C05,AC1021-S02,AC1021,Bearing wear,MAJOR,2024-08-27T12:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0159,AC1021-S02-C02,AC1021-S02,AC1021,Bearing wear,MAJOR,2024-09-01T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0160,AC1021-S02-C02,AC1021-S02,AC1021,Vibration exceedance,CRITICAL,2024-09-09T06:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0161,AC1021-S02-C04,AC1021-S02,AC1021,Vibration exceedance,CRITICAL,2024-09-12T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0162,AC1021-S02-C05,AC1021-S02,AC1021,Vibration exceedance,CRITICAL,2024-09-15T16:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0163,AC1021-S02-C01,AC1021-S02,AC1021,Vibration exceedance,CRITICAL,2024-09-19T05:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0164,AC1021-S02-C02,AC1021-S02,AC1021,Vibration exceedance,CRITICAL,2024-09-22T12:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0165,AC1021-S02-C04,AC1021-S02,AC1021,Vibration exceedance,CRITICAL,2024-09-26T20:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0166,AC1022-S01-C02,AC1022-S01,AC1022,Bearing wear,MAJOR,2024-08-13T18:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0167,AC1022-S01-C02,AC1022-S01,AC1022,Bearing wear,MAJOR,2024-08-17T13:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0168,AC1022-S01-C01,AC1022-S01,AC1022,Bearing wear,MAJOR,2024-08-22T19:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0169,AC1022-S01-C04,AC1022-S01,AC1022,Vibration exceedance,CRITICAL,2024-08-25T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0170,AC1022-S01-C03,AC1022-S01,AC1022,Vibration exceedance,CRITICAL,2024-08-29T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0171,AC1022-S01-C01,AC1022-S01,AC1022,Vibration exceedance,CRITICAL,2024-09-01T11:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
