:ID(MaintenanceEvent),component_id,system_id,aircraft_id,fault,severity,reported_at,corrective_action
ME0115,AC1012-S01-C05,AC1012-S01,AC1012,Bearing wear,MINOR,2024-09-06T11:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0116,AC1012-S01-C03,AC1012-S01,AC1012,Overheat,MAJOR,2024-09-14T10:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0117,AC1012-S01-C02,AC1012-S01,AC1012,Bearing wear,MAJOR,2024-09-15T05:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0118,AC1012-S01-C02,AC1012-S01,AC1012,Bearing wear,MAJOR,2024-09-20T08:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0119,AC1012-S01-C01,AC1012-S01,AC1012,Bearing wear,MAJOR,2024-09-24T00:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0120,AC1012-S01-C01,AC1012-S01,AC1012,Overheat,MAJOR,2024-09-24T01:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0121,AC1012-S01-C04,AC1012-S01,AC1012,Bearing wear,MAJOR,2024-09-28T10:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0122,AC1012-S02-C04,AC1012-S02,AC1012,Bearing wear,MINOR,2024-08-05T19:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0123,AC1012-S02-C03,AC1012-S02,AC1012,Bearing wear,MAJOR,2024-08-12T02:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0124,AC1012-S02-C05,AC1012-S02,AC1012,Bearing wear,MINOR,2024-08-16T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0125,AC1012-S02-C02,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-08-20T10:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0126,AC1012-S02-C01,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-08-23T20:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0127,AC1012-S02-C03,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-08-27T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0128,AC1012-S02-C01,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-08-30T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0129,AC1012-S02-C02,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-03T16:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0130,AC1012-S02-C04,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-07T11:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0131,AC1012-S02-C01,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-10T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0132,AC1012-S02-C04,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-13T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0133,AC1012-S02-C03,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-17T11:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0134,AC1012-S02-C01,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-20T23:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0135,AC1012-S02-C04,AC1012-S02,AC1012,Vibration exceedance,CRITICAL,2024-09-24T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0136,AC1013-S01-C05,AC1013-S01,AC1013,Bearing wear,MINOR,2024-08-18T00:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0137,AC1013-S01-C04,AC1013-S01,AC1013,Bearing wear,MAJOR,2024-08-24T13:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0138,AC1013-S01-C03,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-08-30T12:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0139,AC1013-S01-C01,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-09-02T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0140,AC1013-S01-C01,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-09-06T06:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0141,AC1013-S01-C03,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-09-09T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0142,AC1013-S01-C02,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-09-12T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0143,AC1013-S01-C02,AC1013-S01,AC1013,Sensor drift,MINOR,2024-09-13T06:00:00,Replaced sensor unit and recalibrated engine monitoring system
ME0144,AC1013-S01-C01,AC1013-S01,AC1013,Sensor drift,MINOR,2024-09-17T01:00:00,Replaced sensor unit and recalibrated engine monitoring system
ME0145,AC1013-S01-C01,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-09-18T12:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0146,AC1013-S01-C03,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-09-21T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0147,AC1013-S01-C05,AC1013-S01,AC1013,Vibration exceedance,CRITICAL,2024-09-25T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0148,AC1013-S02-C03,AC1013-S02,AC1013,Bearing wear,MAJOR,2024-09-10T03:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0149,AC1013-S02-C04,AC1013-S02,AC1013,Bearing wear,MAJOR,2024-09-13T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0150,AC1013-S02-C05,AC1013-S02,AC1013,Bearing wear,MINOR,2024-09-19T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0151,AC1013-S02-C02,AC1013-S02,AC1013,Overheat,MAJOR,2024-09-25T15:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0152,AC1013-S02-C04,AC1013-S02,AC1013,Vibration exceedance,CRITICAL,2024-09-27T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0153,AC1014-S02-C04,AC1014-S02,AC1014,Bearing wear,MAJOR,2024-09-13T15:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0154,AC1014-S02-C01,AC1014-S02,AC1014,Bearing wear,MINOR,2024-09-24T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0155,AC1014-S02-C05,AC1014-S02,AC1014,Bearing wear,MAJOR,2024-09-28T06:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0156,AC1015-S01-C02,AC1015-S01,AC1015,Bearing wear,MAJOR,2024-09-13T12:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0157,AC1015-S01-C05,AC1015-S01,AC1015,Bearing wear,MAJOR,2024-09-24T18:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0158,AC1015-S01-C04,AC1015-S01,AC1015,Bearing wear,MINOR,2024-09-27T20:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0159,AC1016-S02-C02,AC1016-S02,AC1016,Bearing wear,MAJOR,2024-09-14T20:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0160,AC1016-S02-C02,AC1016-S02,AC1016,Bearing wear,MAJOR,2024-09-19T05:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0161,AC1016-S02-C01,AC1016-S02,AC1016,Bearing wear,MAJOR,2024-09-24T19:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0162,AC1018-S01-C05,AC1018-S01,AC1018,Bearing wear,MINOR,2024-09-28T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0163,AC1019-S01-C02,AC1019-S01,AC1019,Bearing wear,MAJOR,2024-09-15T18:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0164,AC1019-S01-C02,AC1019-S01,AC1019,Bearing wear,MAJOR,2024-09-20T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0165,AC1019-S01-C03,AC1019-S01,AC1019,Bearing wear,MAJOR,2024-09-23T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0166,AC1021-S01-C03,AC1021-S01,AC1021,Bearing wear,MAJOR,2024-08-11T01:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0167,AC1021-S01-C03,AC1021-S01,AC1021,Bearing wear,MINOR,2024-08-15T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0168,AC1021-S01-C01,AC1021-S01,AC1021,Bearing wear,MAJOR,2024-08-20T21:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0169,AC1021-S01-C01,AC1021-S01,AC1021,Vibration exceedance,CRITICAL,2024-08-24T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0170,AC1021-S01-C01,AC1021-S01,AC1021,Vibration exceedance,CRITICAL,2024-08-29T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0171,AC1021-S01-C03,AC1021-S01,AC1021,Vibration exceedance,CRITICAL,2024-09-01T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
